Source IP;Destination IP;Source Port;Destination Port;Stream Index;Packets Count;Total Len;Source To Destination;Source To Destination Length;Destination To Source;Destination To Source Length;Start Time;End Time
192.168.1.131;142.250.187.163;56409;443;54;530;311660;230;38330;300;273330;1718272508.79305;1718272508.458303
192.168.1.131;142.251.140.86;56400;443;43;300;145440;130;32820;170;112620;1718272505.435347;1718272508.44686
192.168.1.131;172.67.139.119;56397;443;40;1570;1882910;210;38040;1360;1844870;1718272505.117771;1718272505.746144
192.168.1.131;142.251.140.46;56396;443;39;8660;11074970;1030;88840;7630;10986130;1718272505.103125;1718272505.772756
192.168.1.131;216.58.213.106;56401;443;45;760;578850;250;42290;510;536560;1718272505.964835;1718272506.290504
192.168.1.131;104.17.25.14;56393;443;36;230;103540;110;29860;120;73680;1718272505.21765;1718272505.359563
192.168.1.131;193.255.88.116;56403;443;47;440;444680;100;38040;340;406640;1718272506.969776;1718272507.245436
192.168.1.131;185.60.218.2;56350;443;33;130;56520;40;50660;90;5860;1718272504.528441;1718272504.737494
192.168.1.131;185.60.218.52;56351;443;32;40;2760;20;1400;20;1360;1718272504.528195;1718272504.678242
192.168.1.131;151.101.130.137;56390;443;31;1620;1740400;340;43280;1280;1697120;1718272504.3294;1718272504.772638
192.168.1.131;193.255.88.116;56389;443;30;13400;17530220;1730;386300;11670;17143920;1718272504.1127;1718272508.785921
192.168.1.131;193.255.88.116;56388;443;29;8400;10451240;1330;705510;7070;9745730;1718272504.898;1718272506.537358
192.168.1.131;172.217.17.225;56354;443;9;30;1620;20;1080;10;540;1718272496.948590;1718272496.976188
192.168.1.131;18.244.80.15;56308;443;18;20;1210;10;550;10;660;1718272502.767735;1718272502.791758
192.168.1.131;193.255.88.9;56406;443;51;160;91040;70;28750;90;62290;1718272507.400653;1718272507.599052
192.168.1.131;146.66.155.38;55859;27029;44;50;10240;20;1620;30;8620;1718272505.824780;1718272508.295892
192.168.1.131;142.250.184.131;56398;443;41;160;91370;70;22870;90;68500;1718272505.401427;1718272505.577291
192.168.1.131;185.60.218.24;56353;443;10;30;1620;20;1080;10;540;1718272496.948717;1718272496.976143
192.168.1.131;142.251.140.78;56394;443;37;550;481050;150;34670;400;446380;1718272505.22895;1718272505.323675
138.197.240.19;192.168.1.131;443;56356;7;60;3480;30;1860;30;1620;1718272496.919613;1718272497.83928
192.168.1.131;104.244.42.2;56347;443;5;330;57420;150;24440;180;32980;1718272495.804995;1718272501.759447
192.168.1.131;142.251.141.33;56410;443;55;300;213630;100;31640;200;181990;1718272509.233560;1718272509.390643
192.168.1.131;142.250.184.131;56399;443;42;550;452710;190;36370;360;416340;1718272505.401760;1718272505.697762
